V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
345644,329,540,138,281,453,319,194,380,132,283,446,381,224,246,310,634,393,315,407,371,288,756,129,360,316,486,827,194,739,271,236,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,17,7,-0.462608070168133,6.29497684038301
498946,276,533,148,303,449,132,228,237,192,313,248,170,228,240,317,687,425,151,348,340,499,829,385,357,272,295,289,289,600,236,228,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,37,9,-1.13491575426022,8.01105670084016
273639,430,597,119,458,557,4,240,353,209,217,399,529,228,230,311,641,393,639,339,315,239,462,220,356,340,331,576,265,437,242,310,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,5,1,-2.16618032848217,-4.43741879068249
512359,235,526,109,308,559,0,218,187,224,201,266,231,230,239,316,534,309,739,221,365,223,328,293,331,270,393,439,238,387,227,237,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,45,1,-2.2343200176779,-2.65879340272867
20626,238,508,83,236,569,0,265,207,180,520,281,86,247,238,313,722,361,293,271,344,223,396,567,247,261,330,189,369,486,245,228,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,80,30,5.63649050638943,3.61758688620188
548691,380,567,154,245,597,0,267,169,192,180,384,421,244,238,334,618,273,725,396,385,175,332,262,304,275,295,634,345,287,226,258,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,44,1,-4.6832503527664,-4.12124518875855
384693,293,567,65,233,232,683,216,269,335,317,183,262,232,236,210,694,421,135,342,333,322,877,238,200,530,229,298,479,714,211,277,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,10,5,-3.25469033739406,7.53226328624017
215548,287,541,93,289,476,0,426,231,250,270,620,310,234,223,341,728,505,680,394,336,205,325,211,263,310,281,469,303,724,220,419,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,65,20,5.62849379220898,-2.22589883097624
382614,476,619,98,319,556,0,283,234,167,220,573,514,234,234,391,663,467,779,420,345,233,427,214,339,364,442,665,215,638,209,272,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,5,1,-2.72826985481524,-4.14159154500342
747094,253,492,132,300,552,0,254,174,217,193,223,289,240,236,277,513,298,629,267,368,244,280,237,344,265,307,483,261,412,223,205,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,45,1,-2.19734040881628,-2.62996369771252
731314,227,524,99,415,451,463,227,268,253,271,431,593,235,228,283,617,293,710,245,331,251,333,265,333,256,323,525,328,539,220,171,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,41,1,-2.80533432570103,-4.865677148361
195168,227,488,91,270,407,39,264,269,239,401,323,319,223,237,288,763,461,254,344,327,247,207,465,301,295,351,338,360,521,207,211,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,79,29,5.53548224836656,3.6477661313365
512550,255,523,130,264,535,101,248,204,224,229,352,464,231,229,297,590,259,633,272,346,225,275,249,310,238,324,475,323,420,221,222,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,35,1,-3.66305734194378,-2.60964837687537
693422,194,491,125,314,420,473,212,291,226,221,369,293,238,230,352,643,319,223,440,359,207,677,306,312,336,599,650,286,729,220,179,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,7,3,-0.520834324466142,6.36770644944454
287757,629,649,391,845,839,0,285,284,0,6,433,200,224,236,555,640,600,259,499,483,0,1001,315,489,589,457,422,351,67,276,394,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,91,38,-1.1312106808957,7.6696370458694
644081,258,529,48,239,522,2,205,265,217,188,258,273,228,236,296,448,359,191,296,335,177,634,243,201,233,337,184,272,344,188,193,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,49,10,-0.30978117319486,8.89990225029144
344017,465,553,209,378,536,203,229,131,192,206,342,422,242,229,596,472,276,739,326,350,197,290,230,352,320,364,657,248,525,195,179,Bone marrow_WNV D7 PBS 4_046_CD45+n=1e4,10,10_WNV_04,WNV,2,43,1,-1.72159468879936,-3.65181880938836
