"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"11",11,307.5,553.5,93,276,486.5,336.5,219,267.5,206.5,266.5,249.5,294,231,231,307,736.5,353.5,437,353,339,406,489,216.5,267.5,270.5,315.5,251.5,281,440.5,222.5,244.5
"12",12,279,523,94,286,456,0,232,250,207,308,288,296,234,233,302,741,452,273,357,338,474,392,235,294,293,334,282,290,456,222,228
"13",13,294.5,550.5,112,568,479,101,234.5,266.5,213.5,224.5,288.5,297,230,229.5,372.5,475,414.5,260,339.5,338.5,232.5,667.5,230,301,297.5,325,259,286,424.5,227.5,247
"14",14,288,542.5,99,260.5,517.5,0,583.5,297,200,244.5,446.5,294.5,230,231,301,690,395.5,689.5,359.5,345,230.5,334.5,230.5,277.5,291.5,356,267,285,418,222,348
"15",15,242,503,208,383,692,0,232,283,218,241,412,273,232,233,334,478,311,278,380,371,196,477,227,303,399,501,425,477,281,250,405
"16",16,303,550,98,273,536,18,236,254,219,221,286,293,232,232,318,531,364,297,319,343,219,296,226,284,285,325,260,285,426,226,250
"17",17,293,542,130,328.5,480.5,0,237,506,203.5,223,258.5,309.5,229.5,231.5,366.5,578,448.5,270,359.5,340,213,566.5,210.5,319,297.5,345.5,298.5,281,410.5,227,270
"18",18,371,569,98.5,287.5,520,0,234.5,256.5,204,303.5,273,295.5,235,234.5,355.5,714,440.5,235.5,340,341.5,244.5,496,226,281.5,290.5,299.5,259,295.5,404.5,229,263
"19",19,375.5,578,180.5,599,572,98,233,218,198,206,312,308,231.5,232,471,516,283,700,401.5,380,212.5,325,230,325,305,345,691,303.5,391,227,247.5
"20",20,317,566,110.5,265.5,514,0,531.5,327,199.5,243.5,362.5,305,232.5,231.5,310.5,675.5,459.5,691.5,338.5,354,226.5,323.5,229,294,345,345.5,556.5,295,428.5,224,267.5
"21",21,337,564,126,297,554,0,366,348,205,255,491,308,230,230,358,711,557,711,415,354,232,350,228,272,656,365,310,323,480,225,479
"22",22,441,592.5,151.5,386.5,603.5,0,254.5,258,210,227,461,302.5,234,233,343.5,607,461.5,371,427.5,348.5,211.5,363.5,226,343,444,457.5,421,365,434,229.5,321.5
"23",23,300,548.5,171,745.5,527.5,0,369.5,501,198,209,260,311,230.5,229.5,366.5,555,444.5,348.5,406.5,348,205,313.5,218,386.5,324.5,370,281.5,297,384,227,260.5
"24",24,304.5,550,73,260,495.5,0,240.5,262,217,533.5,331,301.5,230,232,324.5,704.5,415,247,326,337.5,223,299.5,221.5,297,271.5,646,266.5,566.5,671.5,226,252.5
"25",25,330.5,565,274,694,560,0,240.5,222,201,212,297,293.5,233,231.5,370.5,507,321.5,453,427,430.5,208,303,224,367,322.5,340,662,309.5,383,226.5,281.5
"26",26,338,570.5,118,266,588.5,0,508,304.5,174,206,342.5,299,231,231,338,624,452,619,370.5,373,219.5,317,229,302.5,275,367.5,803.5,361.5,394.5,225,278
"27",27,371,594,125,651,492,0,234,418,190,237,349,329,231,228,356,627,513,400,360,351,215,343,222,268,483,332,295,274,390,217,428
"28",28,289,545.5,178.5,797,517,0,251.5,257.5,209,217.5,275.5,301,231,231,350.5,547.5,414.5,294,376.5,371.5,219,296,229,351,313,341,289.5,315,404,225.5,250.5
"29",29,268,532,75,259.5,442,0,227,268,224.5,430.5,302,305.5,231,234.5,325,715.5,470.5,244,319.5,336,248.5,260.5,249,299,276,327,283,367.5,517,226.5,215
"30",30,328.5,561.5,76,251.5,506.5,39,243,248.5,210.5,465,244.5,193,230,231,331.5,717.5,384.5,238,323,336,215.5,281,506.5,267,256.5,294.5,274.5,306.5,431.5,219,229
"31",31,725.5,657,458.5,501,696,0,263.5,371,185.5,200,317,296.5,231,230,505,510.5,312,557,476,511.5,186.5,367,227.5,430,484.5,536,617,416.5,288,233.5,316
"32",32,315,559,111,270,581,0,436,114,197.5,207,334.5,314,231,233,383.5,626,478,623,363.5,352.5,186,301.5,217.5,336,287,390.5,829.5,431,405.5,226.5,294.5
"33",33,348,574,121,268,580,0,508,112,183,215,328,300,230,233,381,617,462,620,364,383,209,309,228,306,277,364,814,243,447,227,253
"34",34,360,575,149,291,605,0,537,236,181,194,317,305,231,231,456,561,467,415,381,365,208,302,223,340,292,377,786,327,391,227,274
"35",35,387,575.5,244.5,691,608,0,575.5,263,195.5,201,294.5,311,232,229,408,513.5,438,343,416,367,211,295.5,217.5,396.5,315,395.5,689,338,395.5,223,264.5
"36",36,278,540,87,276,441.5,0,211.5,268.5,195.5,420,287,308,232.5,231,324,737,464.5,264.5,357.5,336.5,365,311.5,234.5,297,288,370,755.5,407,529.5,220,272.5
"37",37,307,554,96,278,506,0,225,230,184,449,268,242,231,231,325,730,432,250,353,370,216,358,437,282,280,334,764,358,436,226,256
"38",38,633,626,445,514,767,0,251,318,180,283,527,290,237,230,444,584,478,378,486,409,155,479,255,413,556,628,563,568,213,232,486
"39",39,307,542,159,274,630,0,554,212,190,248,461,337,229,234,406,732,568,758,429,351,218,337,205,282,577,475,820,314,694,211,429
"40",40,275,542,107,272,493,0,246,380,203,224,308,295,230,234,369,584,514,322,337,343,214,374,231,315,282,337,666,311,448,224,339
