"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"29",29,308,557,104,295,466,72,234,266,218,425,293,286,232,231,345,761,438,289,350,340,261,284,280,309,287,315,321,350,568,219,225
"30",30,304,554,70,257,489,114,238,256,210,489,269,225,231,232,324,711,370,250,305,341,208,292,528,269,263,320,273,366,539,219,237
"31",31,724,652,433,490,686,0,258,329,174,200,382,296,232,231,508,564,328,570,451,548,175,374,226,415,465,520,730,404,287,232,330
"32",32,320,562.5,142,288,586,0,324.5,138,186,225,465,310.5,231,231,370,663.5,489.5,656.5,387,350,201,314.5,221,329.5,307.5,378,820,400.5,489.5,226,292
"33",33,361,577,166.5,307,614.5,0,414.5,96,168,224,479,305.5,232,232,414,668,476,689,417,440.5,207,344,229.5,301.5,302,336,818,227.5,500.5,223.5,267.5
"34",34,357,573,237,332,612,0,495,278,179,203,393,308,231,231,476,597,480,378,427,372,200,317,226,358,327,386,764,332,440,226,272
"35",35,363,575,304,651,618,0,546,290,185,191,312,310,231,230,512,546,463,358,433,375,210,312,230,412,347,407,725,325,414,224,283
"36",36,288.5,541.5,97,280.5,437.5,0,217,252,204.5,442.5,321,313,231,231,353,744.5,463.5,270,348.5,338.5,385.5,320,240,298,287,371.5,780,405,636.5,223,247
"37",37,309,554,97,278,541,0,231,239,172,462,308,240,231,232,368,716,412,280,345,363,203,349,446,287,269,335,750,376,579,224,268
"38",38,542,599,358.5,542.5,744,0,274.5,313,187.5,247.5,607.5,261,231.5,231.5,454.5,664,494,407,494.5,403.5,176.5,485.5,252,408.5,504,574.5,594.5,482.5,290.5,237,471
"39",39,334,563,166,367,672,0,401,200,140,322,626,298,231,231,423,757,557,764,452,369,234,408,234,303,583,433,879,376,747,212,429
"40",40,318,564,141,296,507,0,240,438,187,222,355,295,233,231,377,609,495,337,371,352,218,378,224,321,292,352,729,299,596,226,317
