"","FlowSOM_metacluster","FSC.A","FSC.PMT.A","SSC.A","BB515.CD117","PerCPCy5.5.CD16.32","Comp.FSC.PMT.A","PE.CD115","PECF594.CD135","Comp.GYG.670.A","PECy5.5.CD3e","PECy7.CD80","DL800.SA.Bio.Ly6G","Comp.LG.562.A","Comp.O.610.A","APC.BrdU","AF700.CD45","APCCy7.CD48","BUV395.CD11b","LiveDead.Blue","BUV615.Siglec.F","BUV661.NK1.1","BUV737.B220","BUV805.CD8a","BV421.CD34","V500.MHCII","BV570.CD4","BV605.Ly6C","BV650.CD150","BV711.SCA.1","Comp.V.750.A","BV785.CD11c"
"19",19,368,575,176.5,600,565,79,233,241,197,205.5,302,310,231,231,503.5,506,277,705,394,379,216,328,231,324.5,297,342,675.5,312.5,391,229,246.5
"20",20,308,554,113,263,536,0,559,330,190,248,381,304,231,233,333,683,504,679,371,352,224,320,229,302,356,340,558,289,412,227,283
"21",21,271,534,121,287,556,0,377,381,186,265,476,310,231,232,367,719,565,722,438,352,226,369,226,296,647,382,279,330,439,225,497
"22",22,323,562,166,410,625.5,0,263.5,256,196.5,230,458,306,231.5,230.5,355.5,596.5,459,334,434,353.5,217,367.5,227,350.5,439.5,477.5,417,338.5,409.5,227,283
"23",23,285.5,533,176,680.5,534.5,0,330.5,481,195,212.5,273.5,303,231,232.5,374.5,534,426.5,331,445,350.5,210.5,306.5,229.5,420,330,372.5,279,274.5,376.5,227,258.5
"24",24,291.5,543,72,258.5,509.5,0,240.5,253.5,219,541.5,316.5,287.5,230.5,230,317.5,700.5,418,245.5,322.5,338,216.5,305,226,285,265,625.5,296,549,575.5,225,241
"25",25,351,563,255,709,584,0,245,203,188,202,263,290,231,231,402,490,342,506,462,436,195,310,220,430,356,382,689,313,366,232,246
"26",26,292,549,116,261.5,577,0,500,322.5,173.5,210.5,328.5,300.5,232,232,353,622,462,612,356,367.5,211,307,228,306,274.5,360.5,797,324,383,227,275
"27",27,251.5,532,141.5,612.5,519.5,0,257,502.5,192,235.5,355,346,234,230,437,666.5,557.5,496,412.5,345.5,223.5,309.5,214,309.5,527,368.5,324,289.5,414.5,229,496
"28",28,274.5,532.5,168.5,798,519.5,0,252,248.5,210.5,213,299,298.5,230,230,354.5,540,392,303.5,389.5,375.5,217.5,302.5,222,375,306,353,286,314.5,396.5,228.5,250
"29",29,235,521,83,265,443,26,230,247,232,460,246,304,231,233,318,724,442,258,330,336,244,277,249,280,270,312,270,341,482,223,226
"30",30,307,549,76,266,534,4,237,245,201,487,248,191,231,231,323,709,360,243,339,341,209,305,503,286,266,311,259,313,379,226,241
"31",31,673,649,466,494,695,0,260,332,176,198,319,293,231,232,507,533,310,607,453,532,180,372,227,422,470,527,605,392,270,233,317
"32",32,281,544,107,259,558,0,421,139,183,220,327,326,231,231,362,626,489,612,357,341,191,323,211,332,276,396,827,447,387,232,286
"33",33,309,553,127,264,580,0,506,134,179,216,347,308,232,230,394,624,468,627,366,392,203,315,227,322,277,355,812,221,417,226,261
"34",34,303.5,552.5,152.5,285,586.5,0,523,263,182,198,297,301,231,232,463.5,554,455,419.5,383,365.5,201.5,298,228,353.5,287,380,761.5,314,382,226,261
"35",35,340,557,242,680,634,0,568,273.5,189,197,264,302,232,232.5,452,509.5,442,347,450.5,381,208,303.5,231.5,434.5,351.5,424.5,694.5,318,364.5,226,257.5
"36",36,267.5,529,85,279.5,472.5,0,213.5,274,200.5,435,274,302.5,231,232,326.5,739,447.5,273,356,341.5,331.5,316,240.5,302,294,366.5,741,392,492,222,243.5
"37",37,309,549,92,281,528,0,227,267,184,455,271,230,232,231,344,729,409,267,354,358,216,326,431,304,278,332,735,326,370,230,261
"38",38,480.5,597.5,364,522,698,0,263.5,364.5,208,277.5,473.5,326,235,226,461.5,619.5,476,358,487.5,395.5,218,521,216,427.5,489,601.5,558,495.5,385,232,447
"39",39,320.5,552,117.5,250.5,591.5,0,496.5,194,177.5,235.5,382.5,273,235.5,233.5,388.5,704.5,563.5,743.5,431.5,358.5,194,354.5,260,316.5,611.5,402.5,704.5,357.5,506,216.5,327.5
"40",40,319.5,545.5,107,272.5,504.5,0,254,410,201.5,218,312,319.5,231,232,371.5,584.5,511.5,352,330,349,217,365,214.5,321,281.5,314.5,680.5,304.5,400.5,227.5,364
