V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
582548,540,626,92,246,292,702,226,272,264,325,393,396,230,234,181,653,203,353,313,335,311,854,49,228,594,298,279,516,666,205,168,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,20,5,-3.13888561021499,8.65150271268973
338106,384,583,159,290,584,0,269,284,210,205,557,300,225,221,358,676,524,707,263,275,271,249,209,367,303,488,821,284,466,206,344,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,74,26,7.31188628860529,-2.09026412408835
618746,950,685,163,326,322,659,209,322,0,466,517,378,222,235,791,674,482,385,396,304,902,585,169,362,441,378,829,607,691,241,132,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,100,36,5.19171654228055,4.49086130487855
178049,158,452,154,293,482,0,246,596,206,183,216,359,228,228,412,639,445,324,409,335,179,667,166,234,305,301,329,297,675,250,290,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,59,17,-0.567363239768663,7.80455071872935
589942,467,609,178,303,425,0,279,272,264,555,126,323,228,229,590,848,617,466,439,362,512,253,339,314,364,389,613,461,605,174,229,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,100,36,5.65935845143509,4.46960831225192
182298,387,552,111,302,354,501,114,455,163,250,313,310,243,212,383,644,446,219,442,299,215,785,223,333,336,680,812,443,774,244,477,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,7,3,-0.378420909129197,6.08865192435259
285373,231,431,149,343,657,0,179,345,184,349,722,296,240,232,374,790,550,787,285,184,246,120,347,366,416,476,949,591,810,229,390,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,74,26,7.46255805884437,-1.86843924106606
434045,485,610,175,623,597,0,246,605,192,172,527,406,216,229,531,723,575,511,414,325,233,372,230,347,549,425,730,230,716,204,610,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,77,27,5.04414337750344,0.213460877414467
596362,556,633,103,259,417,482,218,283,245,274,238,345,245,238,308,461,489,210,322,342,256,752,198,173,402,393,157,339,490,228,185,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,40,10,-1.19867028566249,8.72920431987552
71998,445,587,366,585,546,0,665,524,170,254,237,325,232,230,593,591,443,330,443,383,187,428,184,358,294,375,667,149,590,198,309,Bone marrow_WNV D7 PBS 6_048_CD45+n=1e4,12,12_WNV_06,WNV,2,87,35,5.19131888766414,-0.501934016126683
