"FSC-A","BV711 CD11c","BV785 B220","PE CD115","PECy5 CD3-CD19-NK11","PECy7 CD16-32","SSC-A","FITC Ly6C","PerCPCy5-5 CD45","AF700 CD48","APCCy7 Ly6G","BV421 CD117","BV510 SCA-1","BV605 CD11b"
589.000000,211.000000,222.000000,715.000000,304.000000,567.000000,259.000000,837.000000,448.000000,545.000000,413.000000,641.000000,553.000000,315.000000
341.000000,274.000000,255.000000,710.000000,334.000000,625.000000,264.000000,840.000000,500.000000,590.000000,356.000000,704.000000,482.000000,503.000000
338.000000,280.000000,244.000000,530.000000,230.000000,583.000000,250.000000,820.000000,464.000000,503.000000,294.000000,647.000000,486.000000,454.000000
396.000000,295.000000,190.000000,650.000000,228.000000,433.000000,187.000000,728.000000,347.000000,462.000000,307.000000,599.000000,485.000000,344.000000
297.000000,181.000000,337.000000,505.000000,279.000000,553.000000,243.000000,787.000000,454.000000,578.000000,348.000000,658.000000,521.000000,326.000000
425.000000,300.000000,262.000000,709.000000,225.000000,582.000000,271.000000,825.000000,438.000000,542.000000,166.000000,661.000000,504.000000,135.000000
357.000000,324.000000,272.000000,613.000000,260.000000,561.000000,283.000000,871.000000,471.000000,489.000000,387.000000,607.000000,505.000000,426.000000
307.000000,271.000000,257.000000,729.000000,329.000000,579.000000,237.000000,836.000000,454.000000,532.000000,231.000000,666.000000,554.000000,369.000000
315.000000,252.000000,274.000000,591.000000,201.000000,514.000000,234.000000,758.000000,436.000000,512.000000,226.000000,733.000000,502.000000,275.000000
135.000000,424.000000,411.000000,482.000000,291.000000,404.000000,91.000000,654.000000,364.000000,465.000000,318.000000,644.000000,534.000000,495.000000
367.000000,337.000000,273.000000,734.000000,244.000000,595.000000,204.000000,862.000000,444.000000,558.000000,287.000000,609.000000,482.000000,311.000000
452.000000,189.000000,265.000000,762.000000,261.000000,586.000000,177.000000,845.000000,459.000000,567.000000,148.000000,608.000000,495.000000,105.000000
449.000000,195.000000,312.000000,672.000000,308.000000,639.000000,253.000000,814.000000,508.000000,564.000000,394.000000,628.000000,502.000000,462.000000
368.000000,155.000000,225.000000,589.000000,243.000000,580.000000,242.000000,826.000000,508.000000,556.000000,175.000000,693.000000,517.000000,383.000000
291.000000,251.000000,231.000000,664.000000,255.000000,582.000000,262.000000,791.000000,434.000000,478.000000,347.000000,688.000000,474.000000,289.000000
528.000000,264.000000,154.000000,680.000000,187.000000,601.000000,205.000000,834.000000,488.000000,583.000000,265.000000,602.000000,528.000000,261.000000
255.000000,325.000000,276.000000,613.000000,288.000000,386.000000,147.000000,584.000000,445.000000,509.000000,217.000000,732.000000,630.000000,260.000000
295.000000,299.000000,280.000000,537.000000,287.000000,344.000000,188.000000,650.000000,327.000000,447.000000,327.000000,615.000000,485.000000,182.000000
182.000000,372.000000,224.000000,668.000000,280.000000,554.000000,180.000000,796.000000,354.000000,550.000000,310.000000,617.000000,495.000000,186.000000
705.000000,166.000000,394.000000,695.000000,231.000000,543.000000,149.000000,768.000000,477.000000,367.000000,253.000000,749.000000,499.000000,223.000000
